participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
40,2,0,52,39,13,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,-1,,,1
41,3,0,42,14,25,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,0,-1,0,-1,-1,-1,1,0,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,0,42,25,16,-1,1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,1,1,1,0,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,0,22,8,7,1,,1,,0,1,-1,1,1,,-1,,,,0,,0,,0,,0,,-1,,1,1,,0,0,,1,,,,-1,,,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,0,42,29,11,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,0,42,27,11,1,1,1,1,1,1,-1,1,1,0,1,0,1,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,0,0,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,0,42,30,9,1,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,0,42,28,11,1,1,1,1,1,1,-1,1,1,1,0,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,0,1,1,1,-1,0,1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2,0,52,42,8,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,1,1,,,1
58,3,0,42,21,19,1,1,-1,1,1,1,1,0,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
