participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
5808,0,0,14,9,1,1,,0,,1,1,,,,1,,,1,,,,,,0,,,,,,0,1,,,0,,,,,,1,,,,,,,,,1,,1,-1,,,,,,,
5987,0,0,30,14,7,-1,1,-1,1,0,1,-1,0,1,0,-1,1,1,,,,,,1,,-1,,,,0,1,0,,-1,0,,,0,,1,,1,,,0,,,,1,0,1,-1,,1,,,1,,
5988,0,1,31,13,14,-1,-1,-1,-1,1,-1,-1,0,1,1,1,1,1,,,,,,-1,,-1,,,,0,-1,1,,-1,-1,,,-1,,1,,-1,,,1,,,,0,1,1,-1,,0,,,1,1,
5989,0,1,14,10,3,1,0,-1,,1,,,,,1,1,,1,,,,,,,,,,,,,,1,,-1,,,,-1,,1,,,,,,,,,,,,1,,1,,,1,,
5991,0,0,30,16,6,-1,1,1,1,1,1,1,-1,0,1,0,1,1,,,,,,1,,-1,,,,1,0,-1,,0,0,,,-1,,0,,1,,,0,,,,1,0,1,1,,1,,,-1,,
5995,0,0,10,3,6,-1,-1,,-1,,1,,,,1,0,,,,,,,,-1,,,,,,,,,,-1,,,,-1,,,,,,,,,,,,,1,,,,,,,,
5998,0,0,30,18,12,-1,1,-1,1,1,-1,1,-1,1,1,1,1,1,,,,,,1,,-1,,,,1,-1,1,,-1,1,,,-1,,1,,-1,,,1,,,,-1,-1,1,-1,,1,,,1,,
5999,0,0,30,30,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,1,,,,1,1,1,,1,1,,,1,,1,,1,,,1,,,,1,1,1,1,,1,,,1,,
6001,1,0,16,10,4,1,1,,,,0,1,,-1,,,,,,,,,,1,,1,,,,-1,1,-1,,,1,,,-1,,,,1,,,,,,,,0,1,1,,,,,,,
6006,1,0,25,13,6,0,0,,1,1,1,1,,-1,1,-1,0,,,,,,,1,,0,,,,-1,1,-1,,1,0,,,-1,,1,,1,,,1,,,,,0,,1,,1,,,-1,,
6008,0,0,28,15,11,-1,1,-1,-1,-1,-1,,-1,-1,1,1,1,1,,,,,,1,,-1,,,,1,0,1,,1,1,,,1,,1,,1,,,,,,,-1,-1,1,0,,1,,,-1,,
6016,1,0,22,10,8,0,1,1,1,1,1,1,,,-1,-1,-1,-1,,,,,,1,,0,,,,-1,1,,,1,0,,,-1,,,,1,,,-1,,,,,0,,,,-1,,,,,
6033,0,0,22,7,4,0,1,1,,0,0,0,,1,0,0,,1,,,,,,,,,,,,0,1,0,,-1,0,,,-1,,,,-1,,,0,,,,,0,1,,,1,,,-1,,
6053,0,0,9,5,4,1,,,1,-1,,1,,,-1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,-1,,,,,,,-1,,,,,,,,,,
6056,0,0,13,10,3,-1,,,,,1,,1,1,,1,,1,,,,,,,,-1,,,,,1,-1,,,1,,,,,,,1,,,,,,,1,,,1,,,,,,,
6068,0,0,10,0,10,-1,-1,,,,,-1,-1,,,,,-1,,,,,,,,,,,,-1,,,,,,,,-1,,-1,,-1,,,,,,,,,,,,,,,-1,,
6073,1,0,30,16,7,1,1,1,1,0,1,1,1,-1,-1,0,0,1,,,,,,1,,1,,,,-1,1,-1,,1,0,,,1,,-1,,1,,,0,,,,-1,0,0,1,,1,,,-1,,
6074,1,0,30,13,11,0,1,1,1,1,1,0,1,-1,-1,-1,-1,-1,,,,,,1,,1,,,,-1,1,-1,,1,0,,,0,,1,,1,,,0,,,,0,-1,-1,1,,-1,,,-1,,
6077,0,0,30,14,16,1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1,,,,,,-1,,-1,,,,1,1,-1,,-1,-1,,,-1,,1,,1,,,-1,,,,1,1,-1,-1,,1,,,-1,,
6081,1,0,30,14,11,1,1,1,1,1,1,-1,1,-1,-1,-1,0,-1,,,,,,1,,1,,,,-1,0,-1,,1,0,,,1,,-1,,1,,,0,,,,0,1,-1,1,,-1,,,-1,,
6083,0,0,29,13,16,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,,,,,,-1,,-1,,,,1,-1,-1,,-1,1,,,-1,,-1,,-1,,,-1,,,,,-1,1,1,,1,,,1,,
6084,1,0,13,3,10,-1,-1,-1,,,-1,,,,-1,-1,1,-1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,-1,,,-1,,,-1,,
6085,0,0,10,5,3,-1,1,,-1,,1,,,,,,,,,,,,,0,,,,,,,1,-1,,1,,,,,,,,0,,,,,,,,,1,,,,,,,,
6088,0,0,30,9,19,-1,0,-1,-1,-1,-1,-1,-1,1,1,1,1,1,,,,,,1,,1,,,,1,-1,-1,,-1,-1,,,-1,,1,,-1,,,0,,,,-1,-1,-1,-1,,-1,,,-1,,
