participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
67,1,0,47,37,10,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,-1,,1,,,,,,,,,
68,1,0,47,27,13,1,,,1,1,1,1,-1,-1,1,0,0,,1,,0,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,0,,,,,,,,,,,,,,,,,,,-1,1,1,0,1,0,-1,1,1,,0,,,,,,,,,
69,1,1,48,35,11,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,0,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,0,,1,,,,1,,,,,
70,1,0,47,34,13,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,-1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,-1,,1,,,,,,,,,
71,1,0,47,33,12,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,0,-1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,0,,1,,,,,,,,,
72,1,0,47,32,13,1,,,1,-1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,-1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,1,1,-1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,-1,1,-1,0,,0,,,,,,,,,
73,1,0,47,33,12,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,-1,0,0,1,,1,,,,,,,,,
74,1,0,30,20,10,1,,,1,1,1,,-1,-1,,1,1,,-1,,,,1,,1,,,1,,,1,,,,1,-1,,-1,-1,-1,-1,1,-1,,1,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,-1,,,,,,,,,,,
75,1,0,47,33,10,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,0,1,-1,-1,1,-1,-1,-1,-1,1,0,1,0,-1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,0,,1,,,,,,,,,
76,1,0,47,29,11,1,,,0,1,0,1,0,-1,1,-1,0,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,0,-1,0,1,1,-1,,,,,,,,,,,,,,,,,,,1,-1,1,0,1,1,1,1,1,,1,,,,,,,,,
77,1,0,47,29,12,1,,,1,1,-1,1,0,-1,1,1,1,,1,,1,1,1,1,1,,0,1,1,1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,0,1,-1,1,-1,,,,,,,,,,,,,,,,,,,0,1,1,1,1,-1,1,1,0,,1,,,,,,,,,
80,1,0,47,33,13,1,,,1,1,-1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,0,1,1,1,1,-1,1,1,1,,1,,,,,,,,,
81,1,1,48,43,4,1,,,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,1,,1,,,,,1,,,,
82,1,0,47,25,5,1,,,1,1,1,1,-1,-1,1,0,1,,1,,1,1,1,1,1,,1,0,-1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,-1,,,,,,,,,,,,,,,,,,,-1,1,1,0,1,0,0,0,1,,1,,,,,,,,,
