participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
45,0,0,19,9,8,-1,1,-1,-1,-1,0,1,-1,1,-1,-1,1,1,1,1,-1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,0,7,5,2,-1,,1,-1,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,0,13,6,6,-1,,,,-1,0,,1,-1,-1,-1,1,,1,1,1,1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,0,19,9,7,-1,1,-1,-1,0,-1,-1,1,1,1,0,0,-1,1,1,-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,0,15,8,7,-1,1,,-1,1,-1,,,,-1,1,-1,-1,1,1,1,1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,0,20,11,9,-1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,0,20,11,8,-1,1,-1,-1,-1,1,1,0,1,-1,-1,-1,-1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,0,19,12,6,-1,1,-1,-1,-1,-1,1,0,1,1,1,1,,1,1,1,-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,0,20,9,11,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,0,22,13,8,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1,1,30,15,13,-1,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
58,0,0,22,10,11,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,1,-1,1,1,1,1,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0,0,22,11,11,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,0,23,8,8,-1,1,1,-1,0,-1,-1,0,-1,0,-1,1,-1,1,1,-1,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0,0,23,11,12,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1,0,23,13,9,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1,0,23,17,5,-1,1,1,-1,1,1,1,1,-1,0,-1,1,-1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,0,22,12,7,-1,1,,-1,1,-1,-1,1,-1,1,-1,1,-1,0,1,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,0,23,12,11,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0,0,26,9,7,-1,1,0,-1,-1,-1,1,0,0,0,-1,1,-1,1,1,1,1,0,0,1,0,-1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
67,0,0,23,13,10,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,0,23,11,5,-1,1,0,-1,1,-1,-1,0,0,0,-1,1,1,0,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0,0,23,12,10,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0,0,25,11,7,-1,1,0,-1,-1,1,1,0,1,-1,-1,1,-1,1,0,1,1,0,1,0,0,0,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,2,30,16,7,-1,1,0,-1,0,-1,0,0,0,1,-1,1,1,1,1,1,1,1,0,1,0,1,1,-1,1,1,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,
72,0,0,26,11,12,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,1,0,1,1,-1,1,1,0,0,-1,-1,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
73,1,0,26,15,11,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,
74,1,0,28,11,12,-1,1,-1,-1,0,-1,-1,0,0,-1,-1,1,-1,0,1,1,1,1,1,1,1,1,0,-1,-1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,
75,1,0,28,7,8,1,-1,0,0,1,-1,0,0,0,1,0,-1,-1,0,1,0,0,1,0,0,1,-1,0,-1,-1,1,0,-1,,,,,,,,,,,,,,,,,,,,,,
77,0,0,7,4,3,-1,,,,-1,,,,1,,1,1,,,,,,,,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0,0,30,10,17,-1,1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,
